osm_id,name,group,segment,address,postal_code,city,country,lat,lng,phone,email,website
node/12145577029,Werkstätte Weigelsdorf,Möbel & Einrichtung,Tischler & Schreiner,"Lebenshilfeweg 1, 2483 Weigelsdorf",2483,Weigelsdorf,AT,47.9497989,16.4083157,+43 2254 729 41,wks.weigelsdorf@noe.lebenshilfe.at,https://www.noe.lebenshilfe.at/standorte/lebenshilfe-werkstaette-weigelsdorf/
node/5433574777,Karosserie Wituschek,Fahrzeuge,KFZ-Werkstatt,,,,AT,48.2066779,14.1594887,+43 7221 73055,witu@witu.at,https://www.witu.at/
way/698991605,Wirtschaftshof,Abriss & Entsorgung,Entsorgung,,,,AT,48.1167093,16.2835887,+43 1 86683430,wirtschaftshof@perchtoldsdorf.at,https://www.perchtoldsdorf.at/content/view/150/
node/12007502271,Idealbau,Bauen & Renovieren,Bauunternehmen,"Achenweg 69, 6370 Kitzbühel",6370,Kitzbühel,AT,47.4620321,12.3873143,+43 5356 628320,wir@idealbau.at,https://www.idealbau.at/
node/353697629,Elektro Oesterreicher,Elektrik,Elektriker,"Brünner Straße 115, 1210 Wien",1210,Wien,AT,48.2746466,16.4074036,,,
node/354817894,Dan Küchen,Küche,Küchenbau,"Enkplatz 6-7, 1110 Wien",1110,Wien,AT,48.1764224,16.413485,,,
node/385209750,Autoservice ATO,Fahrzeuge,KFZ-Werkstatt,"Wiener Gasse 118, 2380 Perchtoldsdorf",2380,Perchtoldsdorf,AT,48.1269502,16.2761975,+43 1 8690415,,
node/916033397,Wipplinger,Sanitär,Sanitär- / Klempner,,,,AT,48.2708539,14.2691275,+43 732 680973,wiplinger@synergiehaus.at,http://www.wiplinger.at
node/13673609441,popaflo,Fahrzeuge,Fahrradwerkstatt,,,,AT,48.4331751,14.3969661,+43 7211 20900,wintersdorf@popaflo.at,https://www.popaflo.at/
way/270240853,Romberger,Möbel & Einrichtung,Tischler & Schreiner,4971 Aurolzmünster,4971,Aurolzmünster,AT,48.2300673,13.4538913,,wintergarten@romberger.at,http://www.bortenschlager.at/
node/799478742,Robert Motzer,Bauen & Renovieren,Metallbau,"Triester Straße 7, 1100 Wien",1100,Wien,AT,48.1773848,16.3572465,,,
node/805423036,Gllaras,Bauen & Renovieren,Bauunternehmen,"Gußriegelstraße 11, 1100 Wien",1100,Wien,AT,48.1749487,16.3592835,,,
node/806896749,Sami,Maler & Tapezierer,Maler & Lackierer,"Buchengasse 143, 1100 Wien",1100,Wien,AT,48.175671,16.3613197,,,
node/5101876823,Reifen Winkler KG.,Fahrzeuge,KFZ-Werkstatt,6600,6600,Lechaschau,AT,47.481418,10.7210223,+43 567262672,winkler.kfz@aon.at,https://www.reifen-winkler.com
node/813850402,Duschi Bau,Bauen & Renovieren,Bauunternehmen,"Quellenstraße 207, 1100 Wien",1100,Wien,AT,48.1768082,16.3590992,,,
node/11363612687,CUBE Store Wien West by Multicycle,Fahrzeuge,Fahrradwerkstatt,"Albert-Schweitzer-Gasse 7, 1140 Wien",1140,Wien,AT,48.2071137,16.219052,+43 720 779900030,wien-west@multicycle.at,https://multicycle.at/cube-store-wien-west/
node/813850414,Besta Bau,Bauen & Renovieren,Bauunternehmen,"Quellenstraße 211-213, 1100 Wien",1100,Wien,AT,48.1769334,16.3587884,,,
node/11222273862,CUBE Store Wien Ost by Multicycle,Fahrzeuge,Fahrradwerkstatt,"Jedletzbergerstraße 9, 1110 Wien",1110,Wien,AT,48.170762,16.4591442,+43 720 779900027,wien-ost@multicycle.de,https://multicycle.at/cube-store-wien-ost/
node/317839933,Mountainbiker.at,Fahrzeuge,Fahrradwerkstatt,1090 Wien,1090,Wien,AT,48.2289599,16.3502576,,wien9@mountainbiker.at,https://www.mountainbiker.at/
node/897442011,Gefes,Bauen & Renovieren,Metallbau,"Braunspergengasse 10, 1100 Wien",1100,Wien,AT,48.1738162,16.3568472,,,
node/452461938,Citybiker,Fahrzeuge,Fahrradwerkstatt,"Lerchenfelder Straße 13, 1070 Wien",1070,Wien,AT,48.2059194,16.3530613,+43 1 5221902,wien7@citybiker.at,https://citybiker.at/
node/916277774,GSN,Sanitär,Sanitär- / Klempner,"Laxenburger Straße 67, 1100 Wien",1100,Wien,AT,48.1762382,16.3739583,,,
node/969821556,Garten Weilinger,Garten & Außenbereich,Garten- & Landschaftsbau,"Gallitzinstraße 6, 1160 Wien",1160,Wien,AT,48.2144238,16.3006324,+43 1 4861210,,
node/12928005793,bad & energie Bäderparadies,Sanitär,Sanitär- / Klempner,"Kaiserstraße 14-16, 1070 Wien",1070,Wien,AT,48.1982513,16.3413406,+43 5 0780 3151,wien7@badundenergie.at,https://www.badundenergie.at/
node/1035420086,Installateur Profi Kratschmann,Sanitär,Sanitär- / Klempner,"Breitenfurter Straße 252, 1230 Wien",1230,Wien,AT,48.1456786,16.2946944,,,
node/1068807580,Bautischlerei G. Horstmann,Möbel & Einrichtung,Tischler & Schreiner,"Linzer Straße 378, 1140 Wien",1140,Wien,AT,48.2013076,16.2640068,,,
node/1071112667,Ernst Huber KFZ-Fachbetrieb GmbH,Fahrzeuge,KFZ-Werkstatt,"Canavesegasse 30, 1230 Wien",1230,Wien,AT,48.1445374,16.2927779,+43 1 8691314,,
node/465228471,Roadbiker,Fahrzeuge,Fahrradwerkstatt,"Praterstraße 29, 1020 Wien",1020,Wien,AT,48.2146305,16.3837188,+43 1 2645381,wien2@roadbiker.at,https://www.roadbiker.at/
node/1110205289,Paint Your Style,Montage & Allround,Montageservice & Allroundhandwerker,"Molkereistraße 7, 1020 Wien",1020,Wien,AT,48.2181797,16.4012947,+43 1 7200083,wien2@paintyourstyle.at,https://paintyourstyle.eu/category/wien-2-de/
node/1081917289,Franz Moser,Garten & Außenbereich,Garten- & Landschaftsbau,"Strebersdorfer Straße 2, 1210 Wien",1210,Wien,AT,48.281573,16.4062585,+4312921418,,
node/8373806643,Bikestore Servicecenter,Fahrzeuge,Fahrradwerkstatt,"Erzherzog-Karl-Straße 14, 1220 Wien",1220,Wien,AT,48.2380134,16.4326865,+436767583861,wien1220@bikestore.cc,https://bikestore.cc/wien-1220
node/4770833049,Augarten,Bauen & Renovieren,Innenarchitekt / Raumausstatter,"Spiegelgasse 3, 1010 Wien",1010,Wien,AT,48.2077496,16.3705224,+43 1 5121494,wien1@augarten.at,https://www.augarten.com
node/12698108101,Weichberger,Fahrzeuge,KFZ-Werkstatt,"Deutschstraße 8, 1230",1230,Wien,AT,48.1425535,16.3581726,+43161680800,wien@weichberger.at,https://weichberger.at/
way/356742538,Josko Center Wien,Fenster & Türen,Türen- & Fensterbau,"Leberstraße 22, 1110 Wien",1110,Wien,AT,48.1806433,16.4060936,+4316000777,wien@joskopartner.at,https://www.josko.at/de/josko-in-ihrer-naehe/josko-center-wien/
node/1291180247,Euroda Transport und Handel,Umzug & Transport,Umzugsunternehmen,"Quellenstraße 37, 1100 Wien",1100,Wien,AT,48.1733832,16.3913434,,,
node/12856203626,Fischer Parkett,Boden & Fliesen,Parkettleger,"Theobaldgasse 4, 1060 Wien",1060,Wien,AT,48.2010498,16.3613729,+43 1 5874621-0,wien@fischerparkett.com,https://www.fischerparkett.com
node/13374159901,Farben Morscher,Maler & Tapezierer,Maler & Lackierer,"Schönbrunner Straße 133, 1050",1050,Wien,AT,48.1879836,16.3460975,+4315444777,wien@farbenmorscher.at,https://www.farbenmorscher.at/
node/11460031966,Enders,Sanitär,Sanitär- / Klempner,"Margaretenstraße 29, 1040 Wien",1040,Wien,AT,48.1956119,16.3641899,+43 1 5874 6430,wien@enders.at,http://www.enders.at/
node/1439072556,Hafnerei,Heizung,Kaminbau,"Billrothstraße 55, 1190 Wien",1190,Wien,AT,48.2397953,16.3488822,,,
node/1569570181,Werning,Fenster & Türen,Glaser,"Breitenfurter Straße 338, 1230 Wien",1230,Wien,AT,48.1378846,16.2874655,,,
way/129436090,e-motion e-Bike Welt Wien,Fahrzeuge,Fahrradwerkstatt,"Lemböckgasse 53-55, 1230 Wien",1230,Wien,AT,48.1335713,16.3098547,+4319974475,wien@emotion-technologies.at,https://emotion-technologies.at/wien/
node/6115123503,DRYSTAR Trocknung und Entfeuchtung,Heizung,Heizungsinstallateur,"Triester Straße, 1230 Wien",1230,Wien,AT,48.1419912,16.3289586,+43 1 6906920,wien@drystar.at,https://www.drystar.at/
node/6294658566,Die Køje,Möbel & Einrichtung,Tischler & Schreiner,"Lange Gasse 2, 1080 Wien",1080,Wien,AT,48.2066623,16.3531575,+43 194 32110,wien@diekoje.com,https://www.diekoje.com/kontakt/koje-wien
node/5300777711,Dekor Farben,Maler & Tapezierer,Maler & Lackierer,"Perfektastraße 58 / Lokal 03B, 1230 Wien",1230,Wien,AT,48.1371416,16.3146789,+43 664 55 35 992,wien@dekor.at,https://dekor-farbenshop.at
node/473467104,BikeStore Wien Nord,Fahrzeuge,Fahrradwerkstatt,"Meisengasse 4, 2103 Langenzersdorf",2103,Langenzersdorf,AT,48.3001645,16.3711974,+43 2244 33726,wien@bikestore.cc,https://bikestore.cc/
node/11656049998,Wibmer,Möbel & Einrichtung,Tischler & Schreiner,9971 Matrei in Osttirol,9971,Matrei in Osttirol,AT,47.0113742,12.5346333,+43 4875 6657,wibmer@coop-holz.at,https://www.wibmer-tischlerei.at
node/12753861669,Weichberger,Fahrzeuge,KFZ-Werkstatt,,,,AT,47.8553812,14.6607781,+43 7355 6218,weyer@weichberger.at,https://weichberger.at/standorte/#3335
node/262695104,Werschitz,Fahrzeuge,Fahrradwerkstatt,,,,AT,47.7203648,14.3303493,+43 7562 5323,werschitz@sport2000.at,https://sport2000.at/de/sport-werschitz/ve-158
node/2122758090,Zauchinger,Bauen & Renovieren,Metallbau,"Penzinger Straße 61, 1140 Wien",1140,Wien,AT,48.1896128,16.304033,+43 1 8945224,,
way/85816171,Tischlerei Mistelberger,Möbel & Einrichtung,Tischler & Schreiner,"Hauptstraße 1, 4551 Ried im Traunkreis",4551,Ried im Traunkreis,AT,48.0228217,14.0747449,+43 7588 7219 0,werner@mistlberger.at,http://www.mistlberger.at
node/2278083879,Faul Manfred Fahrradwerkstatt,Fahrzeuge,Fahrradwerkstatt,"Lorystraße 39, 1110 Wien",1110,Wien,AT,48.1728809,16.4131209,,manfred.faul@chello.at,
node/13421908303,Apex Cycling,Fahrzeuge,Fahrradwerkstatt,Linke Wienzeile 78,,,AT,48.1957742,16.354235,+43 1 5814673,werkstatt1060@apexcycling.at,https://apexcycling.at/
node/9252445430,'s Radl,Fahrzeuge,Fahrradwerkstatt,"Sieveringer Straße 140, 1190 Wien",1190,Wien,AT,48.2522507,16.319825,+436764402520,werkstatt@sradl.at,https://www.sradl.at
node/2278353837,Beranek,Fahrzeuge,Fahrradwerkstatt,"Rathstraße 28, 1190 Wien",1190,Wien,AT,48.2509466,16.3046631,,,
node/2395393432,Beranek,Fahrzeuge,KFZ-Werkstatt,"Rathstraße 28, 1190 Wien",1190,Wien,AT,48.2509393,16.3047378,,,
node/2415389868,Holy & Holy,Fahrzeuge,KFZ-Werkstatt,"Hackhofergasse 4, 1190 Wien",1190,Wien,AT,48.2601831,16.3656158,+43 1 3702261,m.holy@utanet.at,
node/11345916675,SEPPcycles e.U.,Fahrzeuge,Fahrradwerkstatt,"Millöckergasse 10, 6850 Dornbirn",6850,Dornbirn,AT,47.4123836,9.7243333,+4366473431433,werkstatt@seppcycles.com,https://www.seppcycles.com
node/2440734769,Schlüsseldienst-Petro,Bauen & Renovieren,Metallbau,"Marchfeldstraße 19, 1200 Wien",1200,Wien,AT,48.2423514,16.3782555,+43 6641441289,office@schluesseldienst-petro.at,
node/2458558687,Elektro Garon,Elektrik,Elektriker,"Heiligenstädter Straße 156, 1190 Wien",1190,Wien,AT,48.2571756,16.3668437,+43 1 3701221,elektrogaron@aon.at,
node/2500431363,Rohrsanierung G. Zagler,Sanitär,Sanitär- / Klempner,"Siemensstraße 69, 1210 Wien",1210,Wien,AT,48.2719976,16.4190137,,,
node/6796452710,Radlfriseur,Fahrzeuge,Fahrradwerkstatt,"Herbststraße 24, 1160 Wien",1160,Wien,AT,48.2057463,16.3319315,+43 660 681 68 33,werkstatt@radlfriseur.at,https://www.radlfriseur.at/
way/283559958,TomF - offroad-camping,Fahrzeuge,KFZ-Werkstatt,"Ruhmannstraße 14, 8570 Voitsberg",8570,Voitsberg,AT,47.0352982,15.1736464,+433144 71630,werkstatt@offroad-camping.at,https://offroad-camping.at/
node/2517094490,Adam Selik,Fahrzeuge,KFZ-Werkstatt,"Simmeringer Hauptstraße 107, 1110 Wien",1110,Wien,AT,48.1746242,16.4163794,+43 1 7495194,,
node/2517094500,Pollmann,Bauen & Renovieren,Schlüsseldienst,1110 Wien,1110,Wien,AT,48.174049,16.4168657,,,
node/2530428939,Euromaster,Fahrzeuge,KFZ-Werkstatt,"Donaufelder Straße 133, 1210 Wien",1210,Wien,AT,48.2528185,16.4255701,,,
node/2530428942,Küchen & Lounge,Küche,Küchenbau,"Donaufelder Straße 101, 1210 Wien",1210,Wien,AT,48.2532107,16.4216529,+43 699 19549835,,
way/314605327,KFZ-Kellner,Fahrzeuge,KFZ-Werkstatt,"Schloßstraße 14, 3485 Sittendorf",3485,Sittendorf,AT,48.4290682,15.7397525,+43 664 75021320,werkstatt@kfz-kellner.at,https://kfz-kellner.at/
node/2712612788,Midas,Fahrzeuge,KFZ-Werkstatt,"Favoritenstraße 218, 1100 Wien",1100,Wien,AT,48.1621736,16.3825784,,,
node/2857537931,Reifen John,Fahrzeuge,KFZ-Werkstatt,"Breitenfurter Straße 245-247, 1230 Wien",1230,Wien,AT,48.1523665,16.3033953,,,
node/2956800337,Bike Connexion,Fahrzeuge,Motorradwerkstatt,"Altmannsdorfer Straße 323, 1230 Wien",1230,Wien,AT,48.1398716,16.3243376,,,
node/4182505224,Eder Karosserie Lackiererei,Fahrzeuge,KFZ-Werkstatt,"Mandorferstraße 30, 4595 Waldneukirchen",4595,Waldneukirchen,AT,48.0235389,14.2620443,+43 7258 7610,werkstatt@karosserie-eder.at,https://www.karosserie-eder.at/
node/3057641943,Tarnit,Fenster & Türen,Glaser,"Breitenfurter Straße 187, 1230 Wien",1230,Wien,AT,48.1592863,16.3085456,+43 1 9713440,,
node/5610799188,Die Radwerkstatt,Fahrzeuge,Fahrradwerkstatt,"Margaretengürtel 134, 1050 Wien",1050,Wien,AT,48.1857132,16.3449706,+4315443801,werkstatt@dieradwerkstatt.at,https://www.dieradwerkstatt.at/
way/104848654,KFZ-Technik Bucher,Fahrzeuge,KFZ-Werkstatt,"Radetzkystraße 116b, 6845 Hohenems",6845,Hohenems,AT,47.3763718,9.7005755,+43 664 1373446,werkstatt@db-kfz.at,https://www.db-kfz.at/
node/3188608562,Auto Spatny,Fahrzeuge,KFZ-Werkstatt,"Linzer Straße 195, 1140 Wien",1140,Wien,AT,48.1941071,16.2930617,,,
node/3227769144,Felix Durdik,Elektrik,Techniker für Haushaltsgeräte,"Favoritenstraße 162, 1100 Wien",1100,Wien,AT,48.1698798,16.3797847,,,
node/13572795302,Bergspezl Salzburg Stadt - Werkstatt,Fahrzeuge,Fahrradwerkstatt,"Eberhard-Fugger-Straße 2, 5020",5020,Salzburg,AT,47.8022581,13.067236,+43662642555,werkstatt@bergspezl-rad.at,https://bergspezl.at/werkstatt-service/fahrradwerkstatt/
node/3474029758,BestDrive,Fahrzeuge,KFZ-Werkstatt,"Breitenfurter Straße 370, 1230 Wien",1230,Wien,AT,48.1366093,16.2804935,,,
way/933657991,ÖZAK Autowerkstatt,Fahrzeuge,KFZ-Werkstatt,"Puchstraße 157, 8055 Graz",8055,Graz,AT,47.0373635,15.4397654,+43 316 32 04 90,werkstatt.oezak@gmx.at,http://oezak-auto.at/
node/3662736725,Fresh ceramics,Montage & Allround,Montageservice & Allroundhandwerker,"Altgasse 20, 1130 Wien",1130,Wien,AT,48.1856372,16.2985965,,,
node/3692050585,KFZ Nagy,Fahrzeuge,KFZ-Werkstatt,"Robert-Dienst-Gasse 1, 1210 Wien",1210,Wien,AT,48.2565623,16.4148098,,,
node/3692050586,KFZ Weizenhofer,Fahrzeuge,KFZ-Werkstatt,"Karl-Nieschlag-Gasse 2, 1210 Wien",1210,Wien,AT,48.2563295,16.4143422,,,
node/10583706151,Reifen Wenzler,Fahrzeuge,KFZ-Werkstatt,"Holzmüllerstraße 4, 4030 Linz",4030,Linz,AT,48.263893,14.3198327,+43732303099,wenzler@a1.net,https://www.reifen-wenzler.at/
way/36733518,Reifen John,Fahrzeuge,KFZ-Werkstatt,"Salzburger Straße 240, 4600 Wels",4600,Wels,AT,48.1507164,13.9790788,+43 7242 53861-1410,wels@reifen-john.com,https://www.reifen-john.com/standorte_detail.asp?id=8
node/6015868500,Farben wahl,Maler & Tapezierer,Maler & Lackierer,"Oberfeldstraße 81, 4600 Wels",4600,Wels,AT,48.1813566,14.0106137,+43 7242 224224,wels@farbenwahl.at,https://farbenwahl.at/firmenzentrale/filiale-wels/
way/124539614,KFZ-Technik Markus Weinberger,Fahrzeuge,KFZ-Werkstatt,"Dorfstraße 49, 2561 Neusiedl",2561,Neusiedl,AT,47.9195632,16.0869895,+43 664 5121029,weinberger.markus@aon.at,https://www.max-kfz-technik.at/
node/6985693439,Farben Morscher,Maler & Tapezierer,Maler & Lackierer,"Treiet 43, 6837 Weiler",6837,Weiler,AT,47.305117,9.6429602,+43 5523 62454,weiler@farbenmorscher.at,http://www.farbenmorscher.at
node/8002844990,Wabe Schädlingsbekämpfung,Reinigung,Schädlingsbekämpfung,"Siezenheimer Straße 35, 5020 Salzburg",5020,Salzburg,AT,47.8056406,13.0100118,+43 662 660785,wb@shop-wabe.com,https://www.shop-wabe.com/
node/335268160,Bereuter,Bauen & Renovieren,Architekt,"Kleine Pfarrgasse 28, 1020 Wien",1020,Wien,AT,48.2192068,16.3800041,,,
node/338661421,Wohndesign Maierhofer,Bauen & Renovieren,Innenarchitekt / Raumausstatter,"Taborstraße 7, 1020 Wien",1020,Wien,AT,48.2132366,16.3793778,,,
node/7104508874,ASZ Wartberg,Abriss & Entsorgung,Entsorgung,"Hiersdorf 38b, 4552 Wartberg an der Krems",4552,Wartberg an der Krems,AT,47.9913762,14.1142429,+43 505409 4552,wartberg@bav-kirchdorf.at,https://www.altstoffsammelzentrum.at/wo_wann_was/asz/show/Asz/wartbergk.html
node/350455704,Mein Holter Bad,Sanitär,Sanitär- / Klempner,"Jörgerstraße 3-5, 1170 Wien",1170,Wien,AT,48.2172575,16.3409409,,,
node/352717681,Salon Verde,Bauen & Renovieren,Innenarchitekt / Raumausstatter,"Landstraßer Hauptstraße 14-16, 1030 Wien",1030,Wien,AT,48.2046297,16.3878211,,,
node/11498011189,Der Freundliche Maler,Maler & Tapezierer,Maler & Lackierer,,,,AT,47.9595436,14.7724623,+43 7442 538 43,waidhofen@freundlinger.at,https://www.derfreundlichemaler.at/Standorte/Standort-Waidhofen-Ybbs
node/364336887,Meyer,Boden & Fliesen,Boden- & Estrichleger,"Salzgries 15, 1010 Wien",1010,Wien,AT,48.2131262,16.3714955,,,
node/7430516279,Farben Wahl,Maler & Tapezierer,Maler & Lackierer,"Südtirolerplatz 3, 3340 Waidhofen an der Ybbs",3340,Waidhofen an der Ybbs,AT,47.9688053,14.765895,+43 7442 526 88-0,waidhofen@farbenwahl.at,https://farbenwahl.at/
way/94888506,Ehrlich Steinwelten,Bauen & Renovieren,Steinmetz,"Ybbsitzerstraße 53, 3340 Waidhofen an der Ybbs",3340,Waidhofen an der Ybbs,AT,47.9551021,14.7868298,+43 7442 52702,waidhofen@ehrlichstein.at,https://www.ehrlichstein.at/index.php/kontakt/waidhofen-an-der-ybbs
way/583753540,METALLBAU Wachtler,Bauen & Renovieren,Metallbau,"Am Schranken 1, 7122 Gols",7122,Gols,AT,47.8906248,16.9230602,+43 2173 2293,wachtlermetall@7122gols.com,https://www.wachtlermetall.at/#kontakt
node/380846308,Yalcin KFZ,Fahrzeuge,KFZ-Werkstatt,1090 Wien,1090,Wien,AT,48.215348,16.341022,,,
node/355369704,W. West Performance,Fahrzeuge,Motorradwerkstatt,"Grünbachplatz 18, 4600 Wels",4600,Wels,AT,48.1665836,14.0250779,+43 7242 54036,w.west@liwest.at,https://www.wwest.at/
node/7918460299,Auto Dvorak,Fahrzeuge,KFZ-Werkstatt,"Leopoldsgasse 15a, 1020 Wien",1020,Wien,AT,48.2202691,16.3766327,+43 1 214 50 55,info@auto-dvorak.at,
node/6576445529,Werner Hacker Rauchfangkehrermeister,Dacharbeiten,Schornsteinfeger,"Florianistraße 11-13, 2563 Pottenstein",2563,Pottenstein,AT,47.9635404,16.0929255,+43 2672 82447;+43 676 6901293,w.hacker@utanet.at,https://www.hacker-werner-rfkm.at/
way/480911464,Viessmann - Verkaufsniederlassung Wien,Heizung,Heizungsinstallateur,"Ziegelofengasse 10, 2345 Brunn am Gebirge",2345,Brunn am Gebirge,AT,48.1069583,16.3067531,+43 2236 377974 110,vn50-at@viessmann.com,https://www.viessmann.at/
node/13758153794,auner Store Wien Süd,Fahrzeuge,Motorradwerkstatt,,,,AT,48.1419316,16.3298561,+43 1 2236 48582,,
node/7141328635,Vintage Automobil,Fahrzeuge,KFZ-Werkstatt,"Rieder Straße 53, 4980 Antiesenhofen",4980,Antiesenhofen,AT,48.3427025,13.4022689,+43 7757 60431-12,vintageautomobil@gmail.com,https://www.vintage-automobil.at/
way/58488271,Papyrus Altpapierservice,Abriss & Entsorgung,Entsorgung,,,,AT,46.6124645,13.8830697,,villach@papyrus.at,http://www.papyrus.at/
way/417062469,Tesla Service Vienna-Triesterstrasse,Fahrzeuge,KFZ-Werkstatt,"Triester Straße 207-209, 1230 Wien",1230,Wien,AT,48.1484095,16.3355032,+43 1253 5967,vienna_service@tesla.com,https://www.tesla.com/de_AT/findus/location/service/9340
node/4327040313,Lender Service,Sanitär,Sanitär- / Klempner,,,,AT,48.2545691,16.3972007,+43 1 2584299,,
